"질의","응답","카테고리"
"오라클 SGA를 16GB로 늘리려는데 커널 파라미터 뭘 확인해야 돼?","- shmmax: 공유메모리 세그먼트 하나의 최대 크기, SGA 전체 크기보다 커야 함
- shmall: 시스템 전체 공유메모리 페이지 수 합
```
sysctl -a | grep shm
kernel.shmmax = 17179869184   # 16GB 이상
kernel.shmall = 4194304       # shmmax / PAGE_SIZE(4096)
```
- 반영: /etc/sysctl.conf 수정 후 sysctl -p
- 놓치기 쉬운 포인트: shmmax보다 SGA_MAX_SIZE가 크면 인스턴스 기동 시 ORA-27123 뜸","OS+DBA"
"테이블스페이스 공간 부족한데 서버 디스크는 여유 있대. 순서가 어떻게 돼?","1) VG 여유공간 확인
```
lsvg datavg
lslv lv_data01
```
2) 부족하면 LV 확장
```
extendlv lv_data01 10G
```
3) JFS2면 온라인 확장
```
chfs -a size=+10G /oradata
```
4) OS 확장 끝나면 DB datafile 조정
```sql
ALTER DATABASE DATAFILE '/oradata/users01.dbf' RESIZE 20G;
```
- 포인트: chfs 전에 df -g로 실제 마운트포인트 맞는지 반드시 확인, 엉뉴 FS 건드리면 복구 골치아픔","OS+DBA"
"오라클 서버에 THP 꺼야 한다는데 왜 그런지?","- THP는 메모리를 큰 페이지로 자동 병합/분할, 이 과정에서 순간 latency spike 발생
- Oracle/PostgreSQL 둘 다 비활성화 권장(khugepaged 부하로 랜덤 성능저하 유발)
```
cat /sys/kernel/mm/transparent_hugepage/enabled
echo never > /sys/kernel/mm/transparent_hugepage/enabled
```
- 영구반영은 grub 파라미터(transparent_hugepage=never) 또는 tuned profile로
- 포인트: THP 끄는 거랑 static HugePages 켜는 건 별개 개념, 헷갈려서 둘 다 안 하는 경우 많음","OS+DBA"
"멀티소켓 서버에서 PostgreSQL shared_buffers 키웠는데 왜 느려질 수 있어?","- NUMA 노드간 remote memory access가 local보다 느림
- shared_buffers 크면 프로세스가 다른 노드 메모리 참조할 확률 증가
```
numactl --hardware
numastat
```
- 대응: numactl --interleave=all로 postgres 기동하거나 zone_reclaim_mode 확인
- 포인트: NUMA 미스는 CPU 사용률 안 높은데 쿼리 지연만 늘어나는 형태로 나타나서 놓치기 쉬움","OS+DBA"
"vm.overcommit_memory 이게 오라클/포스트그레스랑 무슨 관계야?","- overcommit_memory=2 + overcommit_ratio로 커널이 할당 가능한 최대 메모리를 제한
- 값 너무 낮으면 SGA/shared_buffers 할당 시점에 메모리 부족으로 기동 실패
```
cat /proc/sys/vm/overcommit_memory
cat /proc/sys/vm/overcommit_ratio
grep CommitLimit /proc/meminfo
```
- 설치 가이드 권장: overcommit_memory=0 또는 2(ratio 계산해서)
- 포인트: overcommit_memory=2일 때 CommitLimit < 필요메모리면 기동 자체가 안 됨, 계산 안 하고 그냥 2로 박아두면 나중에 걸림","OS+DBA"
"AIX에서 오라클 I/O 느릴 때 aio 서버 파라미터 확인하는 법?","```
ioo -a | grep aio
lsattr -El aio0
```
- maxservers/minservers 부족하면 AIO 요청이 큐잉되며 대기 늘어남
- disk_asynch_io=TRUE 확인 + aio 커널 확장자 로드 여부도 같이 체크
- 포인트: aio 서버 수는 CPU 코어 수가 아니라 동시 I/O 요청 수 기준으로 늘려야 함","OS+DBA"
"DB 볼륨에 noatime 옵션 걸면 뭐가 좋아져?","- 파일 read할 때마다 접근시간(atime) 갱신 안 해서 불필요한 쓰기 I/O 감소
- InnoDB는 데이터파일 접근이 매우 빈번해서 atime 갱신 오버헤드가 누적됨
```
mount -o remount,noatime /var/lib/mysql
# /etc/fstab에 noatime,nodiratime 영구 반영
```
- 포인트: binlog나 general log가 있는 파일시스템도 같이 적용해야 효과가 남","OS+DBA"
"티베로 설치하기 전에 커널 파라미터 뭐부터 봐야돼?","```
kernel.sem = 250 32000 100 128
kernel.msgmni
kernel.msgmax
kernel.msgmnb
fs.file-max
```
- semmns(전체 세마포어 수) 부족하면 다중 인스턴스 기동시 세마포어 생성 실패
- msgmax/msgmnb 너무 작으면 프로세스간 IPC 통신 에러
- 포인트: 설치 매뉴얼 권장값은 최소치라 인스턴스 여러 개 띄울 서버는 여유있게 잡아야 함","OS+DBA"
"오라클 계정 ulimit 어디서 영구적으로 설정해?","```
# /etc/security/limits.conf
oracle   soft   nofile   65536
oracle   hard   nofile   65536
oracle   soft   nproc    16384
oracle   hard   nproc    16384
```
- pam_limits 모듈 활성화 필요(/etc/pam.d/login에 session required pam_limits.so)
- 적용 확인은 재로그인 후 ulimit -a
- 포인트: systemd로 기동하는 서비스는 limits.conf 안 먹고 유닛파일에 LimitNOFILE 따로 잡아야 함","OS+DBA"
"오라클이 HugePages 실제로 쓰고 있는지 어떻게 확인해?","```
cat /proc/meminfo | grep -i huge
ipcs -m
```
- 세그먼트 크기가 SGA 크기와 일치하는지로 HugePages 사용 여부 판단
- HugePages_Free가 0이면 일부만 쓰고 나머지는 일반 메모리로 fallback된 상태
- 포인트: HugePagesTotal은 재부팅해야 반영됨, 런타임에 못 늘림","OS+DBA"
