"질의","응답","카테고리"
"PostgreSQL StatefulSet용 PVC 용량이 부족한데 온라인으로 늘릴 수 있어?","- StorageClass가 allowVolumeExpansion: true인지 먼저 확인
- PVC 스펙에서 storage 값만 patch
```
kubectl patch pvc postgres-data-postgres-0 -p '{""spec"":{""resources"":{""requests"":{""storage"":""50Gi""}}}}'
```
- CSI 드라이버가 온라인 확장 지원하면 Pod 재시작 없이 파일시스템 리사이즈까지 자동 진행
- 안되면 Pod 재시작해서 리사이즈 트리거
- 확장 후 df -h로 실제 마운트 반영 확인, PG tablespace는 자동으로 안 늘어나니 별도 확인","DBA+DEVOPS"
"MySQL StatefulSet 3replica 중 slave 하나만 replication lag이 계속 커지는데 뭐부터 봐?","확인 순서
1. kubectl top pod로 해당 Pod CPU/메모리 throttle 여부 확인
2. SHOW SLAVE STATUS\G에서 Seconds_Behind_Master, relay log 적용 속도 확인
3. PVC storageclass IOPS 등급 - 디스크 I/O 바틀넥인지 확인
4. 같은 노드/AZ인지, 노드간 네트워크 지연 확인
5. slave_parallel_workers 설정값 확인
- 놓치기 쉬운 포인트: resources.limits.cpu 걸려 있으면 CFS throttling으로 relay log apply가 밀림","DBA+DEVOPS"
"Helm으로 PostgreSQL 커스텀 파라미터(postgresql.conf)를 어떻게 주입해?","- bitnami 차트 기준 primary.extendedConfiguration으로 override
```
primary:
  extendedConfiguration: |
    max_connections = 300
    shared_buffers = 2GB
```
- helm upgrade 후 StatefulSet rolling restart로 반영됨, 재기동 필요한 파라미터는 즉시 적용 안 되니 주의","DBA+DEVOPS"
"Jenkins 파이프라인에서 Flyway로 DB 마이그레이션 자동 적용하려면 어떻게 구성해?","- 앱 배포 stage 전에 DB Migrate stage 추가
```
stage('DB Migrate') {
  steps {
    sh 'flyway -url=jdbc:postgresql://db:5432/app -user=$DB_USER -password=$DB_PW migrate'
  }
}
```
- 계정 정보는 Jenkins credentials로 주입
- 마이그레이션 실패시 이후 배포 stage 진행되지 않게 파이프라인 abort 처리","DBA+DEVOPS"
"MySQL Pod가 자꾸 OOMKilled 뜨는데 innodb_buffer_pool_size 때문인가?","확인 순서
1. kubectl describe pod에서 OOMKilled, exit code 137 확인
2. container resources.limits.memory 값 확인
3. innodb_buffer_pool_size + 커넥션당 오버헤드 합이 limit 초과하는지 계산
4. performance_schema, temp table 메모리 사용량도 확인
- buffer_pool_size는 limit의 60~70% 이하로 잡아야 함, OS/커넥션 오버헤드 무시하면 바로 OOM","DBA+DEVOPS"
"GitLab CI에서 DB 스키마 변경사항을 스테이징에 자동배포하려면?","- .gitlab-ci.yml에 migrate stage 추가
```
migrate:
  stage: deploy
  image: flyway/flyway
  script:
    - flyway -url=$DB_URL migrate
  only:
    - staging
```
- rollback 스크립트도 같이 버전관리해야 함
- 실패시 이후 앱 배포 stage 자동 중단되게 needs/dependencies 설정","DBA+DEVOPS"
"Oracle RAC를 쿠버네티스에서 그대로 운영할 수 있어?","- RAC는 공유 스토리지(ASM)+클러스터웨어 의존성이 커서 표준 K8s 패턴이랑 안 맞음
- 컨테이너화는 가능해도 실제 운영은 대부분 VM/베어메탈 유지
- K8s에서는 RAC 대신 단일 인스턴스+Data Guard, StatefulSet 조합으로 구성하는 경우가 더 많음","DBA+DEVOPS"
"PostgreSQL 슬로우쿼리가 갑자기 늘었는데 CSI PVC 스토리지 문제인지 어떻게 확인해?","확인 순서
1. pg_stat_activity에서 wait_event가 IO 관련(DataFileRead 등)인지 확인
2. EXPLAIN ANALYZE로 실제 IO 비용 확인
3. PVC/StorageClass의 IOPS·throughput 등급 확인
4. Prometheus node_disk_* 지표와 iostat 비교
5. 같은 노드에 다른 워크로드가 붙어 노이지네이버 발생했는지 확인
- 놓치기 쉬운 포인트: gp2/gp3 같은 클라우드 볼륨은 IOPS burst 소진되면 급격히 느려짐","DBA+DEVOPS"
"Tibero도 컨테이너 이미지로 만들어서 K8s에 올릴 수 있어?","- 가능하지만 라이선스 정책상 벤더 제공 이미지/가이드 확인 필수
- 라이선스가 코어/인스턴스 단위라 Pod replica 늘리는 구조와 안 맞을 수 있음
- PVC에 데이터 파일 마운트하고 StatefulSet으로 운영하는 패턴은 Oracle과 유사","DBA+DEVOPS"
"MySQL Pod가 CrashLoopBackOff인데 innodb_buffer_pool_size 관련 로그가 보여","확인 순서
1. kubectl logs로 innodb 초기화 에러(mmap 실패 등) 확인
2. 컨테이너 memory limit보다 buffer_pool_size가 큰지 계산
3. requests/limits 값과 my.cnf 값 불일치 확인
4. HugePages 설정했는데 노드에 hugepage 미할당된 경우도 원인
- buffer_pool_size는 limit보다 항상 작게, 최소 20% 여유 둬야 함","DBA+DEVOPS"
"Prometheus로 MySQL 모니터링하려면 exporter 어떻게 붙여?","- mysqld_exporter를 같은 Pod에 sidecar로 배포
```
- name: mysqld-exporter
  image: prom/mysqld-exporter
  env:
    - name: DATA_SOURCE_NAME
      valueFrom:
        secretKeyRef: {name: mysql-secret, key: dsn}
```
- ServiceMonitor 등록해서 Prometheus가 스크랩하도록 설정
- exporter 계정은 REPLICATION CLIENT, PROCESS 권한만 최소 부여","DBA+DEVOPS"
"Grafana에서 슬로우쿼리 대시보드 만들려면 뭘 연동해야해?","- mysqld_exporter의 mysql_global_status_slow_queries 메트릭 활용
- Prometheus를 datasource로 등록 후 rate(mysql_global_status_slow_queries[5m]) 패널 구성
- 쿼리 텍스트까지 보려면 exporter만으론 부족, pg_stat_statements나 PMM 별도 연동 필요","DBA+DEVOPS"
"ELK로 DB 에러 로그 수집하려면 어떻게 구성해?","- Filebeat를 DB Pod에 sidecar로 붙여서 error log 파일 tail
```
filebeat.inputs:
- type: log
  paths: [""/var/log/mysql/error.log""]
```
- Logstash에서 파싱 후 Elasticsearch로 전송
- 로그 파일이 emptyDir이면 Pod 재시작시 사라지니 PVC나 별도 로그 볼륨에 마운트해야 함","DBA+DEVOPS"
